[16:04:07.084] Created Window
[16:04:07.112] Setup Shaders
[16:04:07.461] Setup Player
[16:04:07.707] Setup Scene Graph
[16:04:07.775] Entering Render Loop
[16:04:13.164] Vector3f[-67.5, -14.300016, 0.0]
[16:04:13.164] Vector3f[-67.5, -14.400017, 0.0]
[16:04:13.164] Vector3f[-67.5, -14.500017, 0.0]
[16:04:13.164] Vector3f[-67.5, -14.600018, 0.0]
[16:04:13.164] Vector3f[-67.5, -14.700018, 0.0]
[16:04:13.164] Vector3f[-67.5, -14.800018, 0.0]
[16:04:13.164] Vector3f[-67.5, -14.900019, 0.0]
[16:04:13.164] Vector3f[-67.5, -15.000019, 0.0]
[16:04:13.165] Vector3f[-67.5, -15.100019, 0.0]
[16:04:13.165] Vector3f[-67.5, -15.20002, 0.0]
[16:04:13.165] Vector3f[-67.5, -15.30002, 0.0]
[16:04:13.165] Vector3f[-67.5, -15.400021, 0.0]
[16:04:13.165] Vector3f[-67.5, -15.500021, 0.0]
[16:04:13.165] Vector3f[-67.5, -15.600021, 0.0]
[16:04:13.165] Vector3f[-67.5, -15.700022, 0.0]
[16:04:13.165] Vector3f[-67.5, -15.800022, 0.0]
[16:04:13.166] Vector3f[-67.5, -15.9000225, 0.0]
[16:04:13.166] Vector3f[-67.5, -16.000023, 0.0]
[16:04:13.166] Vector3f[-67.5, -16.100023, 0.0]
[16:04:13.166] Vector3f[-67.5, -16.200024, 0.0]
[16:04:13.166] Vector3f[-67.5, -16.300024, 0.0]
[16:04:13.166] Vector3f[-67.5, -16.400024, 0.0]
[16:04:13.167] Vector3f[-67.5, -16.500025, 0.0]
[16:04:13.167] Vector3f[-67.5, -16.600025, 0.0]
[16:04:13.167] Vector3f[-67.5, -16.700026, 0.0]
[16:04:13.167] Vector3f[-67.5, -16.800026, 0.0]
[16:04:13.167] Vector3f[-67.5, -16.900026, 0.0]
[16:04:13.167] Vector3f[-67.5, -17.000027, 0.0]
[16:04:13.167] Vector3f[-67.5, -17.100027, 0.0]
[16:04:13.168] Vector3f[-67.5, -17.200027, 0.0]
[16:04:13.168] Vector3f[-67.5, -17.300028, 0.0]
[16:04:13.168] Vector3f[-67.5, -17.400028, 0.0]
[16:04:13.168] Vector3f[-67.5, -17.500029, 0.0]
[16:04:13.168] Vector3f[-67.5, -17.600029, 0.0]
[16:04:13.169] Vector3f[-67.5, -17.70003, 0.0]
[16:04:13.169] Vector3f[-67.5, -17.80003, 0.0]
[16:04:13.169] Vector3f[-67.5, -17.90003, 0.0]
[16:04:13.169] Vector3f[-67.5, -18.00003, 0.0]
[16:04:13.170] Vector3f[-67.5, -18.10003, 0.0]
[16:04:13.170] Vector3f[-67.5, -18.200031, 0.0]
[16:04:13.170] Vector3f[-67.5, -18.300032, 0.0]
[16:04:13.170] Vector3f[-67.5, -18.400032, 0.0]
[16:04:13.171] Vector3f[-67.5, -18.500032, 0.0]
[16:04:13.171] Vector3f[-67.5, -18.600033, 0.0]
[16:04:13.171] Vector3f[-67.5, -18.700033, 0.0]
[16:04:13.171] Vector3f[-67.5, -18.800034, 0.0]
[16:04:13.171] Vector3f[-67.5, -18.900034, 0.0]
[16:04:13.172] Vector3f[-67.5, -19.000034, 0.0]
[16:04:13.172] Vector3f[-67.5, -19.100035, 0.0]
[16:04:13.172] Vector3f[-67.5, -19.200035, 0.0]
[16:04:13.172] Vector3f[-67.5, -19.300035, 0.0]
[16:04:13.172] Vector3f[-67.5, -19.400036, 0.0]
[16:04:13.172] Vector3f[-67.5, -19.500036, 0.0]
[16:04:13.172] Vector3f[-67.5, -19.600037, 0.0]
[16:04:13.172] Vector3f[-67.5, -19.700037, 0.0]
[16:04:13.173] Vector3f[-67.5, -19.800037, 0.0]
[16:04:13.173] Vector3f[-67.5, -19.900038, 0.0]
[16:04:13.173] Vector3f[-67.5, -20.000038, 0.0]
[16:04:13.173] Vector3f[-67.5, -20.100039, 0.0]
[16:04:13.173] Vector3f[-67.5, -20.200039, 0.0]
